code,name,folded,description,description-2,link
138,n/a,,,,
139,n/a,,,,
140,n/a,,,,
141,n/a,,,,
142,n/a,,,,
143,n/a,,,,
144,n/a,,,,
145,n/a,,,,
146,n/a,,,,
147,n/a,,,,
148,n/a,,,,
149,n/a,,,,
150,n/a,,,,
151,n/a,,,,
152,n/a,,,,
153,n/a,,,,
154,n/a,,,,
155,n/a,,,,
156,n/a,,,,
157,n/a,,,,
158,n/a,,,,
159,n/a,,,,
160,&nbsp;,,&nbsp;,Non-breaking Space / Required Space / NBSP,https://en.wikipedia.org/wiki/Non-breaking_space
161,¡,,Inverted Exclamation Mark,,https://en.wikipedia.org/wiki/Inverted_question_and_exclamation_marks
162,¢,,Cent,,https://en.wikipedia.org/wiki/Cent_(currency)
163,£,,Pound Sign,,https://en.wikipedia.org/wiki/Pound_sign
164,¤,,Currency Sign,Scarab,https://en.wikipedia.org/wiki/Currency_sign_(typography)
165,¥,,Yen Sign,Yuan Sign,https://en.wikipedia.org/wiki/Yen_sign
